 ;StudioVersionRec;StudioProjectName;StudioTestName;ParticipantName;RecordingName;RecordingDate;RecordingDuration;RecordingResolution;FixationFilter;MediaName;MediaPosX (ADCSpx);MediaPosY (ADCSpx);MediaWidth;MediaHeight;SegmentName;SegmentStart;SegmentEnd;SegmentDuration;SceneName;SceneSegmentStart;SceneSegmentEnd;SceneSegmentDuration;RecordingTimestamp;LocalTimeStamp;EyeTrackerTimestamp;MouseEventIndex;MouseEvent;MouseEventX (ADCSpx);MouseEventY (ADCSpx);MouseEventX (MCSpx);MouseEventY (MCSpx);KeyPressEventIndex;KeyPressEvent;StudioEventIndex;StudioEvent;StudioEventData;ExternalEventIndex;ExternalEvent;ExternalEventValue;EventMarkerValue;FixationIndex;SaccadeIndex;GazeEventType;GazeEventDuration;FixationPointX (MCSpx);FixationPointY (MCSpx);AOI[q1_qtext]Hit;AOI[q1_aoptions]Hit;AOI[q2_qtext]Hit;AOI[q2_aoptions]Hit;AOI[q3_qtext]Hit;AOI[q3_aoptions]Hit;AOI[q4_qtext]Hit;AOI[q4_aoptions]Hit;AOI[q5_qtext]Hit;AOI[q5_scale]Hit;AOI[q5_item1]Hit;AOI[q5_item2]Hit;AOI[q6a_qtext]Hit;AOI[q6a_scale]Hit;AOI[q6a_item1]Hit;AOI[q6a_item2]Hit;AOI[q6b_qtext]Hit;AOI[q6b_scale]Hit;AOI[q6b_item1]Hit;AOI[q6b_item2]Hit;AOI[q6c_qtext]Hit;AOI[q6c_scale]Hit;AOI[q6c_item1]Hit;AOI[q6c_item2]Hit;AOI[q6d_qtext]Hit;AOI[q6d_scale]Hit;AOI[q6d_item1]Hit;AOI[q6d_item2]Hit;AOI[q7_qtext]Hit;AOI[q7_aoptions]Hit;AOI[q8_qtext]Hit;AOI[q8_aoptions]Hit;AOI[q9a_qtext]Hit;AOI[q9a_scale]Hit;AOI[q9a_item1]Hit;AOI[q9a_item2]Hit;AOI[q9b_qtext]Hit;AOI[q9b_scale]Hit;AOI[q9b_item1]Hit;AOI[q9b_item2]Hit;AOI[q9b_item3]Hit;AOI[q10_qtext]Hit;AOI[q10_scale]Hit;AOI[q10_item1]Hit;AOI[q10_item2]Hit;AOI[q10_item3]Hit;AOI[q10_item4]Hit;AOI[q11a_qtext]Hit;AOI[q11a_scale]Hit;AOI[q11a_item1]Hit;AOI[q11a_item2]Hit;AOI[q11a_item3]Hit;AOI[q11b_qtext]Hit;AOI[q11b_scale]Hit;AOI[q11b_item1]Hit;AOI[q11b_item2]Hit;AOI[q11b_item3]Hit;AOI[q12_qtext]Hit;AOI[q12_aoptions]Hit;AOI[q13_qtext]Hit;AOI[q13_aoptions]Hit;AOI[q14_qtext]Hit;AOI[q14_scale]Hit;AOI[q14_item1]Hit;AOI[q14_item2]Hit;AOI[q14_item3]Hit;AOI[q15_qtext]Hit;AOI[q15_aoptions]Hit;AOI[q16_qtext]Hit;AOI[q16_aoptions]Hit;AOI[q17_qtext]Hit;AOI[q17_aoptions]Hit;AOI[q18_qtext]Hit;AOI[q18_aoptions]Hit;AOI[q19_qtext]Hit;AOI[q19_aoptions]Hit;AOI[q20_qtext]Hit;AOI[q20_aoptions]Hit;AOI[q21_qtext]Hit;AOI[q21_aoptions]Hit;AOI[q22_qtext]Hit;AOI[q22_aoptions]Hit;AOI[q23_qtext]Hit;AOI[q23_aoptions]Hit;AOI[q24_qtext]Hit;AOI[q24_scale]Hit;AOI[q24_item1]Hit;AOI[q24_item2]Hit;AOI[q24_item3]Hit;AOI[q24_item4]Hit;AOI[q25a_qtext]Hit;AOI[q25a_scale]Hit;AOI[q25a_item1]Hit;AOI[q25a_item2]Hit;AOI[q25a_item3]Hit;AOI[q25b_qtext]Hit;AOI[q25b_scale]Hit;AOI[q25b_item1]Hit;AOI[q25b_item2]Hit;GazePointIndex;GazePointLeftX (ADCSpx);GazePointLeftY (ADCSpx);GazePointRightX (ADCSpx);GazePointRightY (ADCSpx);GazePointX (ADCSpx);GazePointY (ADCSpx);GazePointX (MCSpx);GazePointY (MCSpx);GazePointLeftX (ADCSmm);GazePointLeftY (ADCSmm);GazePointRightX (ADCSmm);GazePointRightY (ADCSmm);StrictAverageGazePointX (ADCSmm);StrictAverageGazePointY (ADCSmm);EyePosLeftX (ADCSmm);EyePosLeftY (ADCSmm);EyePosLeftZ (ADCSmm);EyePosRightX (ADCSmm);EyePosRightY (ADCSmm);EyePosRightZ (ADCSmm);CamLeftX;CamLeftY;CamRightX;CamRightY;DistanceLeft;DistanceRight;PupilLeft;PupilRight;ValidityLeft;ValidityRight;IRMarkerCount;IRMarkerID;PupilGlassesRight
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33804;09:46:27.279;;;;;;;;;;5;URLEnd;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7;;;;;3500;;Fixation;8;635;501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;;;;;;;;;;;;;;33812;09:46:27.287;1350632823267310;;;;;;;;;;;;;;;;3501;;Fixation;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4058;640;506;635;500;637;503;;;169,01;138,57;167,73;140,19;168,37;139,38;109,90;201,51;548,75;171,81;201,07;549,74;;;;;583,57;583,57;2,47;2,50;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;;;;;;;;;;;;;;33820;09:46:27.295;1350632823275700;;;;;;;;;;;;;;;;3502;;Fixation;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4059;633;520;637;514;635;517;;;167,28;134,80;168,12;136,48;167,70;135,64;109,86;201,47;548,66;171,76;201,09;549,78;;;;;583,49;583,49;2,51;2,52;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33824;09:46:27.300;;;;;;;;;;6;URLStart;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7;;;;;3503;;Fixation;8;634;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33828;09:46:27.304;1350632823283930;;;;;;;;;;;;;;;;3503;;Fixation;8;634;519;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4060;631;511;637;527;634;519;634;519;166,52;137,31;168,26;132,91;167,39;135,11;109,80;201,45;548,64;171,70;201,15;549,90;;;;;583,46;583,46;2,48;2,53;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33837;09:46:27.312;1350632823292310;;;;;;;;;;;;;;;;3504;;Fixation;8;630;522;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4061;618;522;643;523;630;522;630;522;163,19;134,32;169,79;134,09;166,49;134,21;109,74;201,50;548,78;171,64;201,21;550,01;;;;;583,62;583,62;2,53;2,53;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33845;09:46:27.320;1350632823300550;;;;;;;;;;;;;;;;3505;;Fixation;8;620;538;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4062;615;540;624;535;619;537;619;537;162,53;129,60;164,73;130,74;163,63;130,17;109,70;201,56;548,94;171,61;201,19;549,92;;;;;583,79;583,79;2,58;2,54;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33853;09:46:27.329;1350632823308930;;;;;;;;;;;;;;;;3506;;Fixation;8;627;533;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4063;635;518;619;547;627;532;627;532;167,78;135,28;163,53;127,51;165,65;131,39;109,65;201,57;548,97;171,60;201,13;549,76;;;;;583,82;583,82;2,52;2,57;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33862;09:46:27.337;1350632823317300;;;;;;;;;;;;;;;;3507;;Fixation;8;636;521;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4064;636;515;635;527;635;521;635;521;168,07;136,27;167,81;132,97;167,94;134,62;109,63;201,53;548,89;171,57;201,14;549,76;;;;;583,74;583,74;2,50;2,55;0;0;;;
27.02.2015;3.1.3;Studie 2012_Teil1;Teil 1;68;68;19.10.2012;721853;1280 x 1024;Raw Data;https://www.unipark.de/uc/GESIS/teil1/ospe.php?SES=2624517104e982f4d9430c73121f22d7 (CRC);0;0;1264;1024;;;;;;;;;33870;09:46:27.345;1350632823325550;;;;;;;;;;;;;;;;3508;;Fixation;8;635;527;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4065;641;526;630;527;635;526;635;526;169,26;133,24;166,32;132,91;167,79;133,08;109,62;201,51;548,89;171,55;201,17;549,83;;;;;583,73;583,73;2,54;2,51;0;0;;;
